Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
FR - Typeform - MSc - Luxe,2026-06-18 11:51:48,30,14.286,93.333,0.0,0.0,25.0,3.571,1,28,7,0,"{'bac45', 'bac3'}",,ok,bac3,lead
INT - Webinar - Bachelor - 24 juin - invitation 3,2026-06-22 18:00:39,4847,2.259,98.803,0.606,0.0,10.169,0.23,11,4789,487,29,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible Term intérêt Bachelor - International - Version Amélie,2026-06-18 14:25:51,17,25.0,94.118,0.0,0.0,25.0,6.25,1,16,4,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible Term intérêt Bachelor - L'apprentissage - version Amélie,2026-06-18 14:25:00,17,0.0,94.118,0.0,0.0,12.5,0.0,0,16,2,0,{'terminale'},,ok,terminale,lead
✅✅ 1 - FR - Workflow Téléchargement plaquette - cible Term intérêt Bachelor - Témoignages - version Amélie,2026-06-18 14:15:56,21,0.0,95.238,0.0,0.0,25.0,0.0,0,20,5,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible 2nd-1er intérêt IBBA - la vie étudiante - version Hélène,2026-06-18 13:53:51,1,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible 2nd-1er intérêt BBA - 2 campus - version Helene,2026-06-18 13:53:28,1,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,{'terminale'},,ok,terminale,lead
INT - Webinar - Bachelor - 24 juin - invitation 1,2026-06-16 18:00:30,4850,2.303,98.866,0.813,0.021,10.865,0.25,12,4795,521,39,{'terminale'},,ok,terminale,lead
FR - Invitation J-8 Post BTS 24/06/26,2026-06-16 12:00:38,157,2.439,99.363,0.641,0.0,52.564,1.282,2,156,82,1,{'bac2'},,ok,bac2,lead
FR - Nurturing 25/26 - Cible AST B+1 intérêt IBBA - Contact commerciaux - version Helene,2026-06-18 14:38:37,4,0.0,100.0,0.0,0.0,0.0,0.0,0,4,0,0,{'bac1'},,ok,bac1,lead
FR - Nurturing 25/26 - AST B+1 intérêt IBBA - la vie étudiante - version Helene,2026-06-18 14:37:56,3,0.0,100.0,0.0,0.0,0.0,0.0,0,3,0,0,{'bac1'},,ok,bac1,lead
FR - Nurturing 25/26 - Cible AST B+1 intérêt IBBA - Présentation - Version Helene,2026-06-18 14:27:51,1,0.0,100.0,0.0,0.0,0.0,0.0,0,1,0,0,{'bac1'},,ok,bac1,lead
✅✅ 5 - FR - Workflow Téléchargement plaquette - Cible Term intérêt IBBA - International - Version Helene,2026-06-18 14:03:33,4,0.0,100.0,0.0,0.0,25.0,0.0,0,4,1,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible Prépa - Pourquoi le PGE ?,2026-06-18 13:50:27,37,0.0,100.0,0.0,0.0,59.459,0.0,0,37,22,0,{'bac2'},,ok,bac2,lead
FR - Workflow AST 2026 - bac+4- Interêt MSc - Mail n°1 (LEAD),2026-06-18 10:54:41,16,11.111,100.0,6.25,0.0,56.25,6.25,1,16,9,1,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+4- Interêt double ou nul - Mail n°3 (LEAD),2026-06-18 10:53:24,10,0.0,100.0,0.0,0.0,30.0,0.0,0,10,3,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+4- Interêt PGE - Mail n°3 (LEAD),2026-06-18 10:53:09,6,0.0,100.0,0.0,0.0,50.0,0.0,0,6,3,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt MSc - Mail n°1 (LEAD),2026-06-18 10:52:26,31,16.667,100.0,3.226,0.0,38.71,6.452,2,31,12,1,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt PGE - Mail n°1 (LEAD),2026-06-18 10:52:09,13,50.0,100.0,0.0,0.0,15.385,7.692,1,13,2,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt double ou nul - Mail n°1 (LEAD),2026-06-18 10:51:54,23,16.667,100.0,4.348,0.0,26.087,4.348,1,23,6,1,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt MSc - Mail n°3 (LEAD),2026-06-18 10:51:29,26,11.111,100.0,0.0,0.0,34.615,3.846,1,26,9,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt PGE - Mail n°3 (LEAD),2026-06-18 10:51:15,11,0.0,100.0,0.0,0.0,9.091,0.0,0,11,1,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+2 - Interêt double ou nul - Mail n°1 (MQL),2026-06-18 10:50:28,15,0.0,100.0,0.0,0.0,33.333,0.0,0,15,5,0,{'bac2'},mql,ok,bac2,mql
✅✅ 2 - FR - Workflow Téléchargement plaquette - Cible Term intérêt BBA - 2 campus - Version Helene,2025-10-24 10:10:06,3,0.0,100.0,0.0,0.0,33.333,0.0,0,3,1,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible AST B+1 intérêt IBBA - L'international - version Helene,2026-06-18 14:29:08,2,0.0,100.0,0.0,0.0,0.0,0.0,0,2,0,0,{'bac1'},,ok,bac1,lead
