Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
FR - Invitation J-5 Post Bac+2/3 27/05/26,2026-05-22 18:00:16,473,1.681,99.789,1.695,0.0,25.212,0.424,2,472,119,8,"{'bac2', 'bac3'}",,ok,bac2,lead
FR - Invitation J-5 Post Bac+2/3 27/05/26,2026-05-22 18:00:16,473,1.681,99.789,1.695,0.0,25.212,0.424,2,472,119,8,"{'bac2', 'bac3'}",,ok,bac3,lead
FR - Invitation J-2 Préparation concours 13/05/26,2026-05-11 15:00:13,809,2.679,99.876,0.866,0.0,27.723,0.743,6,808,224,7,{'bac2'},,ok,bac2,lead
FR - Confirmation inscription Webinaire Parcoursup 22/01/26,2025-12-12 18:01:07,1,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,{'terminale'},,ok,terminale,lead
INT - Nurturing 25-26 *Parents* EN - 1b BBA,2026-06-23 15:24:41,3,0.0,100.0,0.0,0.0,66.667,0.0,0,3,2,0,{'terminale'},,ok,terminale,lead
FR - Nurturing 25/26 - Cible B1 intérêt Bachelor - 2 campus,2026-06-18 14:55:59,17,0.0,100.0,0.0,0.0,5.882,0.0,0,17,1,0,{'bac1'},,ok,bac1,lead
FR - Nurturing 25/26 - Cible AST B+1 - Interêt Bachelor - Présentation - version Amélie,2026-06-18 14:51:32,24,0.0,100.0,4.167,0.0,16.667,0.0,0,24,4,1,{'bac1'},,ok,bac1,lead
EN - Remerciement brochure - MSc Marketing digital et stratégies d’influence,2026-06-18 13:40:30,6,100.0,100.0,0.0,0.0,50.0,50.0,3,6,3,0,"{'bac45', 'bac3'}",,ok,bac45,lead
EN - Remerciement brochure - MSc Marketing digital et stratégies d’influence,2026-06-18 13:40:30,6,100.0,100.0,0.0,0.0,50.0,50.0,3,6,3,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Nurturing 25/26 - Cible Term intérêt Bachelor - Parcoursup - version Amélie,2026-06-18 14:24:14,18,0.0,94.444,0.0,0.0,35.294,0.0,0,17,6,0,{'terminale'},,ok,terminale,lead
✅✅ 4 - FR - Workflow Téléchargement plaquette - Cible Prépa - la vie étudiante,2026-06-18 13:52:22,10,0.0,100.0,10.0,0.0,30.0,0.0,0,10,3,1,{'bac2'},,ok,bac2,lead
